year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
2013,The Double,R,Comedy,Jesse Eisenberg,Richard Ayoade,Fyodor Dostoevsky,UK,Alcove Entertainment,6.5,39922,0,,200268,,93,4/4/2014,UNK
2014,Chef,R,Comedy,Jon Favreau,Jon Favreau,Jon Favreau,USA,Aldamisa Entertainment,7.3,156375,11000000,,30640336,,114,5/30/2014,UNK
2014,Sin City: A Dame to Kill For,R,Crime,Mickey Rourke,Frank Miller,Frank Miller,USA,Aldamisa Entertainment,6.5,126091,65000000,,13757804,,102,8/22/2014,UNK
2013,Instructions Not Included,PG-13,Comedy,Eugenio Derbez,Eugenio Derbez,Guillermo Ríos,Mexico,Alebrije Cine y Video,7.6,24412,5000000,,44467206,,115,9/6/2013,UNK
1994,De amor y de sombras,R,Drama,Antonio Banderas,Betty Kaplan,Isabel Allende,Argentina,Aleph Producciones S.A.,5.1,1592,0,,19710,,100,5/10/1996,UNK
1987,A Man in Love,R,Drama,Peter Coyote,Diane Kurys,Diane Kurys,France,Alexandre Films,5.8,442,0,,949451,,125,9/1/1987,UNK
1990,C'est la vie,Not specified,Drama,Nathalie Baye,Diane Kurys,Diane Kurys,France,Alexandre Films,6.3,512,0,,805462,,110,11/1/1990,UNK
2003,High Tension,R,Crime,Cécile De France,Alexandre Aja,Alexandre Aja,France,Alexandre Films,6.8,58572,0,,3681066,,91,6/10/2005,UNK
2012,Cosmópolis,R,Drama,Robert Pattinson,David Cronenberg,David Cronenberg,Canada,Alfama Films,5,39663,20500000,,743636,,109,5/3/2013,UNK
1991,Europa,R,Drama,Barbara Sukowa,Lars von Trier,Lars von Trier,Spain,Alicéléo,7.7,16870,0,,1007001,,112,6/27/1991,UNK
2001,Sex and Lucia,R,Drama,Paz Vega,Julio Medem,Julio Medem,Spain,Alicia Produce,7.2,31120,0,,1490177,,128,12/20/2002,UNK
1991,Cool as Ice,PG,Comedy,Vanilla Ice,David Kellogg,David Stenn,USA,Alive Films,2.8,7942,6000000,,1193062,,91,10/18/1991,UNK
1987,Prince of Darkness,R,Horror,Donald Pleasence,John Carpenter,John Carpenter,USA,Alive Films,6.7,28064,3000000,,14182492,,102,10/23/1987,UNK
1989,Shocker,R,Comedy,Michael Murphy,Wes Craven,Wes Craven,USA,Alive Films,5.4,12181,5000000,,16554699,,109,10/27/1989,UNK
1988,They Live,R,Action,Roddy Piper,John Carpenter,Ray Nelson,USA,Alive Films,7.3,83379,4000000,,13008928,,94,11/4/1988,UNK
1987,Intervista,Not specified,Comedy,Sergio Rubini,Federico Fellini,Federico Fellini,Italy,Aljosha,7.1,1926,0,,112560,,100,11/6/1992,UNK
1988,Beaches,PG-13,Comedy,Bette Midler,Garry Marshall,Iris Rainer,USA,All Girl Productions,6.8,19613,0,,57041866,,123,1/13/1989,UNK
2002,Divine Secrets of the Ya-Ya Sisterhood,PG-13,Drama,Sandra Bullock,Callie Khouri,Rebecca Wells,USA,All Girl Productions,6,16109,27000000,,69599016,,116,6/7/2002,UNK
1991,For the Boys,R,Comedy,Bette Midler,Mark Rydell,Neal Jimenez,USA,All Girl Productions,6.3,4430,40000000,,17860280,,138,11/27/1991,UNK
1995,Man of the House,PG,Comedy,Chevy Chase,James Orr,David E. Peckinpah,USA,All Girl Productions,5,7041,0,,40070995,,96,3/3/1995,UNK
1997,The Sixth Man,PG-13,Comedy,Marlon Wayans,Randall Miller,Christopher Reed,USA,All Net Productions,5.6,4735,11000000,,14708874,,107,3/28/1997,UNK
2005,An American Haunting,PG-13,Horror,Donald Sutherland,Courtney Solomon,Brent Monahan,UK,Allan Zeman Productions,5,22973,14000000,,16298046,,83,5/5/2006,UNK
1991,Prospero's Books,R,Drama,John Gielgud,Peter Greenaway,William Shakespeare,UK,Allarts,6.9,5335,0,,1750301,,124,8/30/1991,UNK
1989,"The Cook, the Thief, His Wife & Her Lover",NC-17,Crime,Richard Bohringer,Peter Greenaway,Peter Greenaway,Netherlands,Allarts,7.6,28906,0,,7724701,,124,4/6/1990,UNK
2001,Dog Days,R,Drama,Maria Hofstätter,Ulrich Seidl,Veronika Franz,Austria,Allegro Film,7.1,5262,0,,13031,,121,11/8/2002,UNK
2008,Prom Night,PG-13,Horror,Brittany Snow,Nelson McCormick,J.S. Cardone,USA,Alliance,3.9,29352,20000000,,43869350,,88,4/11/2008,UNK
2012,The Lords of Salem,R,Horror,Sheri Moon Zombie,Rob Zombie,Rob Zombie,USA,Alliance,5.1,22611,2500000,,1163508,,101,4/18/2013,UNK
1999,A Room for Romeo Brass,R,Comedy,Martin Arrowsmith,Shane Meadows,Robyn Slovo,UK,Alliance Atlantis Communications,7.7,4755,0,,18434,,90,2/4/2000,UNK
1999,eXistenZ: Mundo virtual,R,Horror,Jude Law,David Cronenberg,David Cronenberg,Canada,Alliance Atlantis Communications,6.8,82097,0,,2840417,,97,4/23/1999,UNK
2001,Formula 51,R,Action,Samuel L. Jackson,Ronny Yu,Stel Pavlou,UK,Alliance Atlantis Communications,6.3,44231,28000000,,5204007,,93,10/18/2002,UNK
1997,In the Company of Men,R,Comedy,Aaron Eckhart,Neil LaBute,Neil LaBute,Canada,Alliance Atlantis Communications,7.3,11992,25000,,2856622,,97,8/1/1997,UNK
2003,Owning Mahowny,R,Crime,Philip Seymour Hoffman,Richard Kwietniowski,Gary Stephen Ross,Canada,Alliance Atlantis Communications,7.1,11120,10000000,,1011054,,104,9/25/2003,UNK
