year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
2008,Waltz with Bashir,R,Animation,Ari Folman,Ari Folman,Ari Folman,Israel,Bridgit Folman Film Gang,8,48937,1500000,,2283276,,90,7/15/2009,UNK
1987,The Trouble with Spies,PG-13,Action,Donald Sutherland,Burt Kennedy,Burt Kennedy,USA,Brigade Productions,4,252,0,,205507,,91,12/4/1987,UNK
1990,A Shock to the System,R,Comedy,Michael Caine,Jan Egleson,Simon Brett,USA,Brigand Films,6.7,3330,0,,3417056,,88,3/23/1990,UNK
1988,Sweet Hearts Dance,R,Comedy,Don Johnson,Robert Greenwald,Ernest Thompson,USA,Brightstar Films,5.7,680,0,,3790493,,100,9/23/1988,UNK
2000,The Specials,R,Action,Rob Lowe,Craig Mazin,James Gunn,USA,Brillstein-Grey Entertainment,6,2010,1000000,,12996,,82,9/18/2000,UNK
2000,What Planet Are You From?,R,Comedy,Garry Shandling,Mike Nichols,Garry Shandling,USA,Brillstein-Grey Entertainment,5.6,8346,60000000,,6291602,,105,3/3/2000,UNK
2006,Amazing Grace,PG,Biography,Ioan Gruffudd,Michael Apted,Steven Knight,USA,Bristol Bay Productions,7.5,21869,0,,21208358,,118,2/23/2007,UNK
1998,A Simple Plan,R,Crime,Bill Paxton,Sam Raimi,Scott B. Smith,UK,British Broadcasting Corporation (BBC),7.5,54106,17000000,,16311763,,121,1/22/1999,UNK
2000,About Adam,R,Comedy,Stuart Townsend,Gerard Stembridge,Gerard Stembridge,Ireland,British Broadcasting Corporation (BBC),6,5918,0,,151559,,97,3/21/2001,UNK
1995,An Awfully Big Adventure,R,Comedy,Hugh Grant,Mike Newell,Beryl Bainbridge,UK,British Broadcasting Corporation (BBC),6,2273,4000000,,258195,,112,7/21/1995,UNK
2003,Code 46,R,Drama,Tim Robbins,Michael Winterbottom,Frank Cottrell Boyce,UK,British Broadcasting Corporation (BBC),6.2,18738,7500000,,197148,,93,9/17/2004,UNK
2003,I Capture the Castle,R,Drama,Romola Garai,Tim Fywell,Dodie Smith,UK,British Broadcasting Corporation (BBC),7.1,6060,8000000,,1174139,,113,8/8/2003,UNK
2001,Iris,R,Biography,Judi Dench,Richard Eyre,John Bayley,UK,British Broadcasting Corporation (BBC),7.1,15426,5500000,,1292119,,91,3/29/2002,UNK
1996,Jude,R,Drama,Christopher Eccleston,Michael Winterbottom,Hossein Amini,UK,British Broadcasting Corporation (BBC),7,9046,7000000,,405144,,123,10/18/1996,UNK
2000,"Love, Honor and Obey",R,Comedy,Sadie Frost,Dominic Anciano,Dominic Anciano,UK,British Broadcasting Corporation (BBC),6.5,4542,0,,1143,,103,2/9/2001,UNK
1992,Peter's Friends,R,Comedy,Hugh Laurie,Kenneth Branagh,Rita Rudner,UK,British Broadcasting Corporation (BBC),7,9009,5000000,,4058564,,101,12/25/1992,UNK
1994,Priest,R,Drama,Linus Roache,Antonia Bird,Jimmy McGovern,UK,British Broadcasting Corporation (BBC),7.1,8634,0,,4176932,,105,3/24/1995,UNK
1992,Sarafina!,PG-13,Drama,Whoopi Goldberg,Darrell Roodt,Mbongeni Ngema,South Africa,British Broadcasting Corporation (BBC),6.4,1586,0,,7306242,,117,9/25/1992,UNK
1990,Strike It Rich,PG,Comedy,Robert Lindsay,James Scott,Graham Greene,UK,British Broadcasting Corporation (BBC),5.1,125,0,,541626,,87,1/26/1990,UNK
1993,The Advocate,R,Crime,Colin Firth,Leslie Megahey,Leslie Megahey,France,British Broadcasting Corporation (BBC),6.8,1663,0,,667078,,100,8/24/1994,UNK
1993,The Cement Garden,NOT RATED,Drama,Charlotte Gainsbourg,Andrew Birkin,Andrew Birkin,France,British Broadcasting Corporation (BBC),7.2,3847,0,,322975,,105,2/11/1994,UNK
1997,The Relic,R,Horror,Penelope Ann Miller,Peter Hyams,Douglas Preston,UK,British Broadcasting Corporation (BBC),5.7,20582,40000000,,33956608,,110,1/10/1997,UNK
1990,Truly Madly Deeply,PG,Comedy,Juliet Stevenson,Anthony Minghella,Anthony Minghella,UK,British Broadcasting Corporation (BBC),7.3,6378,0,,1554742,,106,5/24/1991,UNK
1997,Wilde,R,Biography,Stephen Fry,Brian Gilbert,Richard Ellmann,UK,British Broadcasting Corporation (BBC),6.9,13004,10000000,,2157701,,118,5/1/1998,UNK
2000,Wonder Boys,R,Comedy,Michael Douglas,Curtis Hanson,Michael Chabon,USA,British Broadcasting Corporation (BBC),7.4,56555,55000000,,19389454,,107,2/25/2000,UNK
1998,Hard Rain,R,Action,Morgan Freeman,Mikael Salomon,Graham Yost,USA,British Broadcasting Corporation (BBC) Television,5.8,28397,70000000,,19819494,,97,1/16/1998,UNK
1999,Better Than Chocolate,R,Comedy,Wendy Crewson,Anne Wheeler,Peggy Thompson,Canada,British Columbia Film,6.2,6963,0,,2011254,,101,8/13/1999,UNK
1994,Double Happiness,PG-13,Drama,Sandra Oh,Mina Shum,Mina Shum,Canada,British Columbia Film Commission,7.2,961,0,,759393,,87,7/28/1995,UNK
1986,Caravaggio,Not specified,Biography,Noam Almaz,Derek Jarman,Derek Jarman,UK,British Film Institute (BFI),6.7,4072,0,,3151,,93,8/29/1986,UNK
1988,"Distant Voices, Still Lives",PG-13,Drama,Pete Postlethwaite,Terence Davies,Terence Davies,UK,British Film Institute (BFI),7.5,2626,0,,688329,,85,11/18/1988,UNK
2013,The Last Days on Mars,R,Horror,Liev Schreiber,Ruairi Robinson,Sydney J. Bounds,UK,British Film Institute (BFI),5.5,31095,0,,23838,,98,9/19/2013,UNK
1992,The Long Day Closes,PG,Biography,Leigh McCormack,Terence Davies,Terence Davies,UK,British Film Institute (BFI),7.5,2003,0,,161179,,85,5/28/1993,UNK
1993,Sirenas,R,Comedy,Hugh Grant,John Duigan,John Duigan,Australia,British Screen Finance Ltd.,5.8,8692,0,,7770731,,98,3/25/1994,UNK
1991,Edward II,R,Drama,Steven Waddington,Derek Jarman,Christopher Marlowe,UK,British Screen Productions,7,1997,0,,694438,,87,10/18/1991,UNK
1991,Hear My Song,R,Comedy,Ned Beatty,Peter Chelsom,Peter Chelsom,Ireland,British Screen Productions,7.2,1338,0,,4313173,,100,2/1/1992,UNK
1988,High Hopes,PG,Comedy,Ruth Sheen,Mike Leigh,Mike Leigh,UK,British Screen Productions,7.6,3235,0,,1192322,,108,2/24/1989,UNK
1995,Jack & Sarah,PG,Comedy,Richard E. Grant,Tim Sullivan,Tim Sullivan,France,British Screen Productions,6.6,4448,0,,218626,,110,3/22/1996,UNK
1990,Life Is Sweet,R,Comedy,Alison Steadman,Mike Leigh,Mike Leigh,UK,British Screen Productions,7.5,6911,0,,1516414,,103,12/1/1991,UNK
1987,Personal Services,R,Comedy,Julie Walters,Terry Jones,David Leland,UK,British Screen Productions,6.4,1031,0,,1744164,,105,5/15/1987,UNK
1987,"Rita, Sue and Bob Too",R,Comedy,Siobhan Finneran,Alan Clarke,Andrea Dunbar,UK,British Screen Productions,6.4,2747,0,,124167,,93,5/29/1987,UNK
1989,Scandal,R,Drama,John Hurt,Michael Caton-Jones,Michael Thomas,UK,British Screen Productions,6.5,3972,0,,8800000,,115,4/28/1989,UNK
1994,Sister My Sister,R,Drama,Julie Walters,Nancy Meckler,Wendy Kesselman,UK,British Screen Productions,6.9,2712,0,,217881,,100,7/14/1995,UNK
1991,The Pope Must Diet,R,Comedy,Robbie Coltrane,Peter Richardson,Peter Richardson,UK,British Screen Productions,5,1304,0,,582510,,100,8/30/1991,UNK
1994,Tom & Viv,PG-13,Biography,Willem Dafoe,Brian Gilbert,Michael Hastings,UK,British Screen Productions,6.5,1357,0,,538534,,100,12/2/1994,UNK
1992,Waterland,R,Drama,Jeremy Irons,Stephen Gyllenhaal,Graham Swift,UK,British Screen Productions,6.7,1855,10000000,,1034287,,95,10/30/1992,UNK
2014,99 Homes,R,Drama,Andrew Garfield,Ramin Bahrani,Ramin Bahrani,USA,Broad Green Pictures,7.1,22416,8000000,,1410915,,112,10/9/2015,UNK
2016,Bad Santa 2,R,Comedy,Billy Bob Thornton,Mark Waters,Johnny Rosenthal,USA,Broad Green Pictures,5.5,13114,26000000,,17664973,,92,11/23/2016,UNK
2015,Green Room,R,Crime,Anton Yelchin,Jeremy Saulnier,Jeremy Saulnier,USA,Broad Green Pictures,7,69349,5000000,,3219029,,95,5/13/2016,UNK
1998,A Night at the Roxbury,PG-13,Comedy,Chris Kattan,John Fortenberry,Steve Koren,USA,Broadway Pictures,6.2,50769,17000000,,30324946,,82,10/2/1998,UNK
1996,Black Sheep,PG-13,Comedy,Chris Farley,Penelope Spheeris,Fred Wolf,USA,Broadway Pictures,6.2,31582,0,,32377000,,87,2/2/1996,UNK
1994,Lassie,PG,Family,Helen Slater,Daniel Petrie,Eric Knight,USA,Broadway Pictures,5.9,4198,0,,9979683,,94,7/22/1994,UNK
1999,Superstar,PG-13,Comedy,Molly Shannon,Bruce McCulloch,Molly Shannon,USA,Broadway Pictures,5,15732,34000000,,30628981,,81,10/8/1999,UNK
2000,The Ladies Man,R,Comedy,Tim Meadows,Reginald Hudlin,Tim Meadows,USA,Broadway Pictures,5.1,11223,24000000,,13592872,,84,10/13/2000,UNK
1995,Tommy Boy,PG-13,Adventure,Chris Farley,Peter Segal,Bonnie Turner,USA,Broadway Pictures,7.1,66163,0,,32700000,,97,3/31/1995,UNK
2008,Baby Mama,PG-13,Comedy,Tina Fey,Michael McCullers,Michael McCullers,USA,Broadway Video,6,36032,30000000,,60269340,,100,4/25/2008,UNK
2010,MacGruber,R,Action,Will Forte,Jorma Taccone,Will Forte,USA,Broadway Video,5.5,37743,10000000,,8460995,,90,5/21/2010,UNK
2016,Masterminds,PG-13,Action,Zach Galifianakis,Jared Hess,Chris Bowman,USA,Broadway Video,5.8,34656,25000000,,17356894,,95,9/30/2016,UNK
2016,Whiskey Tango Foxtrot,R,Biography,Tina Fey,Glenn Ficarra,Robert Carlock,USA,Broadway Video,6.6,38907,35000000,,23049575,,112,3/4/2016,UNK
2004,Club Dread,R,Comedy,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,USA,Broken Lizard Industries,5.7,24974,8600000,,4992159,,104,2/27/2004,UNK
2009,The Slammin' Salmon,R,Comedy,Michael Clarke Duncan,Kevin Heffernan,Jay Chandrasekhar,USA,Broken Lizard Industries,6.5,11324,0,,41588,,100,1/17/2009,UNK
2014,Into the Storm,PG-13,Action,Richard Armitage,Steven Quale,John Swetnam,USA,Broken Road Productions,5.8,57376,50000000,,47602194,,89,8/8/2014,UNK
2015,Scouts Guide to the Zombie Apocalypse,R,Action,Tye Sheridan,Christopher Landon,Carrie Lee Wilson,USA,Broken Road Productions,6.3,33629,15000000,,3635292,,93,10/30/2015,UNK
2016,Fences,PG-13,Drama,Denzel Washington,Denzel Washington,August Wilson,USA,Bron Studios,7.2,62351,24000000,,57642961,,139,12/25/2016,UNK
2015,I Saw the Light,R,Biography,Tom Hiddleston,Marc Abraham,Marc Abraham,USA,Bron Studios,5.7,4460,13000000,,1646468,,123,4/1/2016,UNK
2016,The Birth of a Nation,R,Biography,Nate Parker,Nate Parker,Nate Parker,USA,Bron Studios,6.3,14778,8500000,,15858754,,120,10/7/2016,UNK
1991,Poison,R,Drama,Edith Meeks,Todd Haynes,Jean Genet,USA,Bronze Eye Productions,6.5,2724,250000,,609524,,85,8/16/1991,UNK
1987,84 Charing Cross Road,PG,Biography,Anne Bancroft,David Hugh Jones,Helene Hanff,UK,Brooksfilms,7.5,6285,0,,1083486,,100,2/13/1987,UNK
1991,Life Stinks,PG-13,Comedy,Mel Brooks,Mel Brooks,Mel Brooks,USA,Brooksfilms,5.8,7979,13000000,,4102526,,92,7/26/1991,UNK
1993,Robin Hood: Men in Tights,PG-13,Adventure,Cary Elwes,Mel Brooks,J.D. Shapiro,France,Brooksfilms,6.7,97973,20000000,,35739755,,104,7/28/1993,UNK
1986,Solarbabies,PG-13,Action,Richard Jordan,Alan Johnson,Walon Green,USA,Brooksfilms,4.8,3397,25000000,,1579260,,94,11/26/1986,UNK
1987,Spaceballs,PG,Adventure,Mel Brooks,Mel Brooks,Mel Brooks,USA,Brooksfilms,7.1,146748,22700000,,38119483,,96,6/24/1987,UNK
1989,The Fly II,R,Horror,Eric Stoltz,Chris Walas,Mick Garris,USA,Brooksfilms,4.9,18023,0,,20021322,,105,2/10/1989,UNK
2005,Sophie Scholl: The Final Days,NOT RATED,Biography,Julia Jentsch,Marc Rothemund,Fred Breinersdorfer,Germany,Broth Film,7.7,23519,0,,676167,,120,10/27/2006,UNK
2012,To the Wonder,R,Drama,Ben Affleck,Terrence Malick,Terrence Malick,USA,Brothers K Productions,5.9,23334,0,,586293,,112,8/16/2013,UNK
1995,The Brothers McMullen,R,Comedy,Jack Mulcahy,Edward Burns,Edward Burns,USA,Brothers McMullen Productions,6.6,6598,25000,,10246600,,98,8/9/1995,UNK
2003,Intermission,R,Comedy,Cillian Murphy,John Crowley,Mark O'Rowe,Ireland,Brown Sauce Film Productions,6.9,14096,5000000,,896993,,105,4/16/2004,UNK
2012,Pitch Perfect,PG-13,Comedy,Anna Kendrick,Jason Moore,Kay Cannon,USA,Brownstone Productions (II),7.2,231932,17000000,,65001093,,112,10/5/2012,UNK
1996,Mad Dog Time,R,Comedy,Ellen Barkin,Larry Bishop,Larry Bishop,USA,Bruin Grip Services,5.5,2423,8000000,,80026,,93,11/8/1996,UNK
2006,The Dead Girl,R,Crime,Toni Collette,Karen Moncrieff,Karen Moncrieff,USA,Bruin Grip Services,6.7,12988,0,,17311,,93,4/26/2007,UNK
1990,Chicago Joe and the Showgirl,R,Crime,Emily Lloyd,Bernard Rose,David Yallop,UK,BSB,4.9,587,0,,85395,,103,7/27/1990,UNK
2014,Cold in July,R,Crime,Michael C. Hall,Jim Mickle,Nick Damici,USA,BSM Studio,6.8,28879,0,,414623,,109,12/31/2014,UNK
1997,McHale's Navy,PG,Action,Tom Arnold,Bryan Spicer,Peter Crabbe,USA,"Bubble Factory, The",4.4,5716,31190000,,4529843,,108,4/18/1997,UNK
1998,Slappy and the Stinkers,PG,Comedy,BD Wong,Barnet Kellman,Robert Wolterstorff,USA,"Bubble Factory, The",5,898,0,,34488,,78,1/23/1998,UNK
1997,The Pest,PG-13,Comedy,John Leguizamo,Paul Miller,David Bar Katz,USA,"Bubble Factory, The",5,7038,17000000,,3506206,,84,2/7/1997,UNK
1994,Spanking the Monkey,UNRATED,Comedy,Jeremy Davies,David O. Russell,David O. Russell,USA,Buckeye Films,6.3,5363,200000,,1359736,,100,7/15/1994,UNK
1989,My Twentieth Century,Not specified,Comedy,Dorota Segda,Ildikó Enyedi,Ildikó Enyedi,Hungary,Budapest Stúdió Vállalat,7.1,692,0,,682016,,100,1/13/1990,UNK
2006,Cuentos de Terramar,PG-13,Animation,Timothy Dalton,Gorô Miyazaki,Ursula K. Le Guin,Japan,Buena Vista Home Entertainment,6.5,26067,0,,48461,,115,7/31/2009,UNK
2003,It Runs in the Family,PG-13,Comedy,Kirk Douglas,Fred Schepisi,Jesse Wigutow,USA,Buena Vista International,5.6,4199,0,,7375836,,100,4/25/2003,UNK
1997,Knockin' on Heaven's Door,NOT RATED,Action,Til Schweiger,Thomas Jahn,Thomas Jahn,Germany,Buena Vista International Film Production (Germany),8,22387,0,,3296,,87,2/20/1997,UNK
2015,Embrace of the Serpent,NOT RATED,Adventure,Nilbio Torres,Ciro Guerra,Ciro Guerra,Colombia,Buffalo Films,7.9,13698,1400000,,1329249,,125,5/25/2015,UNK
2006,The Illusionist,PG-13,Drama,Edward Norton,Neil Burger,Neil Burger,USA,Bull's Eye Entertainment,7.6,316052,16000000,,39868642,,110,9/1/2006,UNK
2001,Cocodrilo Dundee en Hollywood,PG,Adventure,Paul Hogan,Simon Wincer,Paul Hogan,Australia,Bungalow Productions,4.8,20819,21150000,,25635682,,92,4/20/2001,UNK
2011,Weekend,NOT RATED,Drama,Tom Cullen,Andrew Haigh,Andrew Haigh,UK,"Bureau, The",7.7,22381,0,,455459,,97,11/4/2011,UNK
2013,Drinking Buddies,R,Comedy,Olivia Wilde,Joe Swanberg,Joe Swanberg,USA,Burn Later Productions,6.1,49646,0,,342936,,90,7/25/2013,UNK
1988,Return to Snowy River,PG,Adventure,Tom Burlinson,Geoff Burrowes,Geoff Burrowes,Australia,Burrowes Film Group,6.6,1943,0,,13687027,,110,4/15/1988,UNK
1997,The Apostle,PG-13,Drama,Robert Duvall,Robert Duvall,Robert Duvall,USA,Butcher's Run Films,7.2,12029,5000000,,20733485,,134,2/20/1998,UNK
2016,War Dogs,R,Comedy,Jonah Hill,Todd Phillips,Stephen Chin,USA,BZ Entertainment,7.1,123020,40000000,,43017433,,114,8/19/2016,UNK
1999,Friends & Lovers,R,Drama,Stephen Baldwin,George Haas,Neill Barry,USA,C.E.O. Films,4.5,1330,0,,94633,,100,4/16/1999,UNK
1991,Impromptu,PG-13,Biography,Judy Davis,James Lapine,Sarah Kernochan,UK,C.L.G. Films,7,4064,0,,4076211,,107,5/1/1991,UNK
2006,Vida salvaje,G,Animation,Kiefer Sutherland,Steve 'Spaz' Williams,Ed Decter,Canada,C.O.R.E. Feature Animation,5.3,20301,80000000,,37384046,,100,4/14/2006,UNK
1988,Salaam Bombay!,NOT RATED,Crime,Shafiq Syed,Mira Nair,Hriday Lani,UK,Cadrage,8,7139,0,,2080046,,113,10/7/1988,UNK
2003,Kontroll,R,Comedy,Sándor Csányi,Nimród Antal,Jim Adler,Hungary,Café Film,7.7,21046,0,,237183,,107,11/20/2003,UNK
1989,Cage,R,Action,Lou Ferrigno,Lang Elliott,Hugh Kelley,USA,Cage Productions,4.9,482,0,,618178,,100,9/1/1989,UNK
1991,The Unborn,R,Drama,Brooke Adams,Rodman Flender,John Brancato,USA,Califilm,4,780,0,,1159578,,100,3/29/1991,UNK
1998,Deep Rising,R,Action,Treat Williams,Stephen Sommers,Stephen Sommers,USA,Calimari Productions,6,28083,45000000,,11203026,,106,1/30/1998,UNK
2013,Grudge Match,PG-13,Comedy,Robert De Niro,Peter Segal,Tim Kelleher,USA,Callahan Filmworks,6.4,50116,40000000,,29807260,,113,12/25/2013,UNK
1987,The Belly of an Architect,R,Drama,Brian Dennehy,Peter Greenaway,Peter Greenaway,UK,Callender Company,7,4517,0,,287725,,119,10/16/1987,UNK
2011,The Deep Blue Sea,R,Drama,Rachel Weisz,Terence Davies,Terence Rattigan,UK,Camberwell / Fly Films,6.3,12608,0,,1124786,,98,11/25/2011,UNK
2004,Garden State,R,Comedy,Zach Braff,Zach Braff,Zach Braff,USA,Camelot Pictures,7.5,194118,2500000,,26782316,,102,8/20/2004,UNK
1994,Burnt by the Sun,R,Drama,Nikita Mikhalkov,Nikita Mikhalkov,Rustam Ibragimbekov,Russia,Caméra One,8,11998,2800000,,2616503,,135,4/21/1995,UNK
1990,Cyrano de Bergerac,PG,Biography,Gérard Depardieu,Jean-Paul Rappeneau,Edmond Rostand,France,Caméra One,7.6,19222,0,,15140007,,137,12/1/1990,UNK
1986,Oviri,R,Biography,Donald Sutherland,Henning Carlsen,Henning Carlsen,Denmark,Caméras Continentales,6.2,275,0,,583800,,100,9/5/1986,UNK
2014,Saving Christmas,PG,Comedy,Kirk Cameron,Darren Doane,Darren Doane,USA,Camfam Studios,1.5,13059,500000,,2783970,,79,11/14/2014,UNK
2016,Chuck,R,Biography,Elisabeth Moss,Philippe Falardeau,Jeff Feuerzeig,USA,Campbell Grobman Films,6.5,1896,0,,320725,,98,5/5/2017,UNK
1994,Go Fish,R,Drama,V.S. Brodie,Rose Troche,Rose Troche,USA,Can I Watch,5.6,1742,15000,,2408311,,83,7/8/1994,UNK
1986,The Boy in Blue,R,Biography,Nicolas Cage,Charles Jarrott,Douglas Bowie,Canada,Canadian Broadcasting Corporation (CBC),5.4,907,0,,275000,,100,1/17/1986,UNK
1994,The Monster,R,Comedy,Roberto Benigni,Roberto Benigni,Vincenzo Cerami,Italy,Canal Plus,7.5,8177,0,,642000,,112,4/19/1996,UNK
1996,A Summer's Tale,G,Comedy,Melvil Poupaud,Éric Rohmer,Éric Rohmer,France,Canal+,7.7,4597,0,,196927,,113,6/20/2014,UNK
1993,Arizona Dream,R,Comedy,Johnny Depp,Emir Kusturica,David Atkins,USA,Canal+,7.4,36250,19000000,,106658,,142,9/9/1994,UNK
2002,Asterix and Obelix Meet Cleopatra,PG,Adventure,Gérard Depardieu,Alain Chabat,René Goscinny,France,Canal+,6.6,40503,0,,3115188,,107,1/30/2002,UNK
2001,Brotherhood of the Wolf,R,Action,Samuel Le Bihan,Christophe Gans,Stéphane Cabel,France,Canal+,7.1,55046,0,,11260096,,142,2/1/2002,UNK
1990,Hamlet,PG,Drama,Mel Gibson,Franco Zeffirelli,William Shakespeare,USA,Canal+,6.8,18778,0,,20710451,,135,1/18/1991,UNK
1991,High Heels,R,Comedy,Victoria Abril,Pedro Almodóvar,Pedro Almodóvar,Spain,Canal+,7.2,10971,0,,1710057,,112,12/20/1991,UNK
1998,I Stand Alone,NOT RATED,Crime,Philippe Nahon,Gaspar Noé,Gaspar Noé,France,Canal+,7.5,15508,0,,54735,,93,2/17/1999,UNK
1994,La fille de d'Artagnan,R,Action,Sophie Marceau,Bertrand Tavernier,Jean Cosmos,France,Canal+,5.9,2764,0,,311922,,125,8/24/1994,UNK
1995,La Haine,NOT RATED,Crime,Vincent Cassel,Mathieu Kassovitz,Mathieu Kassovitz,France,Canal+,8.1,115435,0,,309811,,98,2/23/1996,UNK
1994,"Little Indian, Big City",PG,Adventure,Thierry Lhermitte,Hervé Palud,Philippe Bruneau,France,Canal+,5.6,3362,0,,1000000,,100,12/14/1994,UNK
1998,Lovers of the Arctic Circle,R,Drama,Najwa Nimri,Julio Medem,Julio Medem,Spain,Canal+,7.8,16017,0,,504223,,112,2/4/2000,UNK
1992,Luna amarga,R,Drama,Hugh Grant,Roman Polanski,Pascal Bruckner,France,Canal+,7.2,28002,5000000,,1862805,,139,3/18/1994,UNK
1997,Ma Vie en Rose,R,Drama,Georges Du Fresne,Alain Berliner,Alain Berliner,Belgium,Canal+,7.6,7811,0,,2280573,,88,12/26/1997,UNK
1993,Made in America,PG-13,Comedy,Whoopi Goldberg,Richard Benjamin,Marcia Brandwynne,USA,Canal+,4.9,12718,22000000,,44942695,,111,5/28/1993,UNK
2000,Rape Me,UNRATED,Crime,Raffaëla Anderson,Virginie Despentes,Virginie Despentes,France,Canal+,4.5,15237,0,,5793,,77,9/21/2001,UNK
2001,Read My Lips,R,Crime,Vincent Cassel,Jacques Audiard,Jacques Audiard,France,Canal+,7.4,11746,0,,1359133,,115,7/26/2002,UNK
1993,Sommersby,PG-13,Drama,Richard Gere,Jon Amiel,Daniel Vigne,France,Canal+,6.1,16471,0,,50081992,,114,2/5/1993,UNK
1994,Stargate: la puerta del tiempo,PG-13,Action,Kurt Russell,Roland Emmerich,Dean Devlin,France,Canal+,7.1,156375,55000000,,71565669,,116,10/28/1994,UNK
1996,The Eighth Day,Not specified,Comedy,Daniel Auteuil,Jaco Van Dormael,Jaco Van Dormael,Belgium,Canal+,7.6,7761,0,,328452,,118,3/7/1997,UNK
1999,The Girl on the Bridge,R,Comedy,Vanessa Paradis,Patrice Leconte,Serge Frydman,France,Canal+,7.6,11570,0,,1708496,,90,3/31/1999,UNK
2000,The Man Who Cried,R,Drama,Christina Ricci,Sally Potter,Sally Potter,UK,Canal+,6.2,13051,0,,739583,,100,3/28/2003,UNK
1999,Dick,PG-13,Comedy,Kirsten Dunst,Andrew Fleming,Andrew Fleming,France,Canal+ Droits Audiovisuels,6.1,16661,13000000,,6241697,,94,8/4/1999,UNK
2004,Bad Education,NC-17,Crime,Gael García Bernal,Pedro Almodóvar,Pedro Almodóvar,Spain,Canal+ España,7.5,48212,5000000,,5211842,,106,2/11/2005,UNK
2001,Intacto,R,Drama,Max von Sydow,Juan Carlos Fresnadillo,Juan Carlos Fresnadillo,Spain,Canal+ España,6.9,11784,0,,302675,,108,11/9/2001,UNK
1997,Open Your Eyes,R,Drama,Eduardo Noriega,Alejandro Amenábar,Alejandro Amenábar,Spain,Canal+ España,7.8,56004,0,,368234,,117,12/19/1997,UNK
1995,The Day of the Beast,R,Action,Álex Angulo,Álex de la Iglesia,Jorge Guerricaechevarría,Spain,Canal+ España,7.5,13867,0,,15324,,103,12/23/1998,UNK
2008,The Oxford Murders,R,Crime,Elijah Wood,Álex de la Iglesia,Álex de la Iglesia,Spain,Canal+ España,6.1,24282,10000000,,3607,,104,7/2/2010,UNK
2006,Volver,R,Comedy,Penélope Cruz,Pedro Almodóvar,Pedro Almodóvar,Spain,Canal+ España,7.6,81978,0,,12899867,,121,1/26/2007,UNK
1986,Otello,PG,Drama,Plácido Domingo,Franco Zeffirelli,Arrigo Boito,Netherlands,Cannon City Produktie Maatschappij B.V.,7.2,424,0,,189042,,100,9/12/1986,UNK
1988,A Cry in the Dark,PG-13,Drama,Meryl Streep,Fred Schepisi,John Bryson,Australia,Cannon Entertainment,6.9,7622,15000000,,6908797,,120,11/11/1988,UNK
1989,Cyborg,R,Action,Jean-Claude Van Damme,Albert Pyun,Albert Pyun,USA,Cannon Entertainment,5,24943,500000,,10166459,,86,4/7/1989,UNK
1990,Death Warrant,R,Action,Jean-Claude Van Damme,Deran Sarafian,David S. Goyer,Canada,Cannon Films,5.6,13783,4000000,,16853487,,89,9/14/1990,UNK
1990,Delta Force 2: The Colombian Connection,R,Action,Chuck Norris,Aaron Norris,James Bruner,USA,Cannon Films,4.7,5538,0,,6698361,,111,8/24/1990,UNK
1986,Detective School Dropouts,PG,Comedy,David Landsberg,Filippo Ottoni,Lorin Dreyfuss,USA,Cannon Films,5.8,220,0,,22123,,92,8/8/1986,UNK
1990,Lambada,PG,Drama,J. Eddie Peck,Joel Silberg,Joel Silberg,USA,Cannon Films,3.2,860,0,,4263112,,104,3/16/1990,UNK
1987,Superman IV: The Quest for Peace,PG,Action,Christopher Reeve,Sidney J. Furie,Joe Shuster,UK,Cannon Films,3.6,35866,17000000,,15681020,,90,7/24/1987,UNK
1987,The Barbarians,R,Fantasy,David Paul,Ruggero Deodato,Alberto Piferi,USA,Cannon Films,4.9,2538,4000000,,800000,,87,3/20/1987,UNK
1986,The Texas Chainsaw Massacre 2,UNRATED,Comedy,Dennis Hopper,Tobe Hooper,L.M. Kit Carson,USA,Cannon Films,5.6,21253,4700000,,8025872,,89,8/22/1986,UNK
1986,52 Pick-Up,R,Crime,Roy Scheider,John Frankenheimer,Elmore Leonard,USA,Cannon Group,6.4,3866,0,,5186646,,110,11/7/1986,UNK
1987,American Ninja 2: The Confrontation,R,Action,Michael Dudikoff,Sam Firstenberg,Gary Conway,USA,Cannon Group,4.8,6565,350000,,4000000,,90,5/1/1987,UNK
1990,American Ninja 4: The Annihilation,R,Action,Michael Dudikoff,Cedric Sundstrom,Gideon Amir,USA,Cannon Group,3.8,3660,0,,358047,,99,3/8/1991,UNK
1986,Dangerously Close,R,Action,John Stockwell,Albert Pyun,Scott Fields,USA,Cannon Group,6.6,935,0,,2390525,,95,5/9/1986,UNK
1987,Death Wish 4: The Crackdown,R,Action,Charles Bronson,J. Lee Thompson,Brian Garfield,USA,Cannon Group,5.3,6770,5000000,,6880310,,99,11/6/1987,UNK
1986,Firewalker,PG,Action,Chuck Norris,J. Lee Thompson,Robert Gosnell,USA,Cannon Group,5,4752,8000000,,11834302,,104,11/21/1986,UNK
1987,Over the Top,PG,Action,Sylvester Stallone,Menahem Golan,Gary Conway,USA,Cannon Group,5.7,40916,25000000,,16057580,,93,2/13/1987,UNK
